ptn_id,nama_ptn,kode_prodi,nama_prodi,jenjang,daya_tampung_2026,peminat_2025,rasio,kategori
372,UNIVERSITAS BRAWIJAYA,13721043,TEKNIK LINGKUNGAN,Sarjana,60.0,1036.0,17.3,Ketat
382,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,13821021,SISTEM INFORMASI,Sarjana,63.0,1090.0,17.3,Ketat
374,UIN MALANG,13741008,PENDIDIKAN DOKTER,Sarjana,50.0,862.0,17.2,Ketat
382,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,13821049,SAINS DATA,Sarjana,15.0,256.0,17.1,Ketat
373,UNIVERSITAS NEGERI MALANG,13731087,KEBIDANAN,Sarjana,16.0,272.0,17.0,Ketat
373,UNIVERSITAS NEGERI MALANG,13731056,MANAJEMEN,Sarjana,105.0,1770.0,16.9,Ketat
372,UNIVERSITAS BRAWIJAYA,13721087,SASTRA CINA,Sarjana,38.0,634.0,16.7,Ketat
373,UNIVERSITAS NEGERI MALANG,13731049,PSIKOLOGI,Sarjana,130.0,2172.0,16.7,Ketat
372,UNIVERSITAS BRAWIJAYA,13721021,ILMU KEPERAWATAN,Sarjana,66.0,1102.0,16.7,Ketat
372,UNIVERSITAS BRAWIJAYA,13721004,TEKNIK MESIN,Sarjana,66.0,1087.0,16.5,Ketat
373,UNIVERSITAS NEGERI MALANG,13731015,TEKNIK SIPIL,Sarjana,52.0,846.0,16.3,Ketat
372,UNIVERSITAS BRAWIJAYA,13721036,SISTEM INFORMASI,Sarjana,84.0,1353.0,16.1,Ketat
382,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,13821050,INOVASI DIGITAL,Sarjana,15.0,242.0,16.1,Ketat
381,UNIVERSITAS AIRLANGGA,13812061,PENGOBAT TRADISIONAL,Sarjana Terapan,20.0,322.0,16.1,Ketat
382,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,13821025,TEKNIK KOMPUTER,Sarjana,42.0,671.0,16.0,Ketat
383,UNIVERSITAS NEGERI SURABAYA,13831019,TEKNIK INFORMATIKA,Sarjana,85.0,1364.0,16.0,Ketat
372,UNIVERSITAS BRAWIJAYA,13721006,ARSITEKTUR,Sarjana,56.0,891.0,15.9,Ketat
382,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,13822035,TEKNOLOGI REKAYASA MANUFAKTUR,Sarjana Terapan,42.0,658.0,15.7,Ketat
371,UNIVERSITAS JEMBER,13713075,USAHA PERJALANAN WISATA,Diploma Tiga,36.0,565.0,15.7,Ketat
372,UNIVERSITAS BRAWIJAYA,13721056,ILMU HUKUM,Sarjana,200.0,3147.0,15.7,Ketat
373,UNIVERSITAS NEGERI MALANG,13731088,HUKUM,Sarjana,63.0,984.0,15.6,Ketat
372,UNIVERSITAS BRAWIJAYA,13721039,TEKNIK GEOFISIKA,Sarjana,29.0,453.0,15.6,Ketat
381,UNIVERSITAS AIRLANGGA,13811031,ILMU POLITIK,Sarjana,33.0,510.0,15.5,Ketat
382,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,13821011,TEKNIK MATERIAL,Sarjana,60.0,932.0,15.5,Ketat
384,UNIVERSITAS TRUNOJOYO MADURA,13843029,ENTERPRENEURSHIP,Diploma Tiga,20.0,309.0,15.4,Ketat
372,UNIVERSITAS BRAWIJAYA,13721009,TEKNOLOGI PANGAN,Sarjana,75.0,1157.0,15.4,Ketat
383,UNIVERSITAS NEGERI SURABAYA,13831032,PSIKOLOGI,Sarjana,171.0,2633.0,15.4,Ketat
372,UNIVERSITAS BRAWIJAYA,13721019,PERENCANAAN WILAYAH & KOTA,Sarjana,56.0,859.0,15.3,Ketat
372,UNIVERSITAS BRAWIJAYA,13721005,TEKNIK ELEKTRO,Sarjana,66.0,1005.0,15.2,Ketat
382,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,13821029,TEKNIK BIOMEDIK,Sarjana,36.0,544.0,15.1,Ketat
