ptn_id,nama_ptn,kode_prodi,nama_prodi,jenjang,daya_tampung_2026,peminat_2025,rasio,kategori
371,UNIVERSITAS JEMBER,13713069,PERPAJAKAN,Diploma Tiga,36.0,951.0,26.4,Sangat Ketat
371,UNIVERSITAS JEMBER,13713065,ADMINISTRASI KEUANGAN,Diploma Tiga,32.0,842.0,26.3,Sangat Ketat
382,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,13821043,MANAJEMEN BISNIS,Sarjana,36.0,938.0,26.1,Sangat Ketat
372,UNIVERSITAS BRAWIJAYA,13721063,ILMU KOMUNIKASI,Sarjana,84.0,2187.0,26.0,Sangat Ketat
381,UNIVERSITAS AIRLANGGA,13811013,TEKNIK BIOMEDIS,Sarjana,27.0,692.0,25.6,Sangat Ketat
372,UNIVERSITAS BRAWIJAYA,13721024,TEKNIK INDUSTRI,Sarjana,66.0,1670.0,25.3,Sangat Ketat
383,UNIVERSITAS NEGERI SURABAYA,13832021,MANAJEMEN INFORMATIKA,Sarjana Terapan,66.0,1668.0,25.3,Sangat Ketat
372,UNIVERSITAS BRAWIJAYA,13721089,KEWIRAUSAHAAN,Sarjana,32.0,810.0,25.3,Sangat Ketat
382,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,13821010,TEKNIK INDUSTRI,Sarjana,60.0,1515.0,25.2,Sangat Ketat
371,UNIVERSITAS JEMBER,13713067,KEPERAWATAN KAMPUS LUMAJANG,Diploma Tiga,72.0,1808.0,25.1,Sangat Ketat
382,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,13821006,TEKNIK MESIN,Sarjana,60.0,1506.0,25.1,Sangat Ketat
382,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,13822040,STATISTIKA BISNIS,Sarjana Terapan,56.0,1396.0,24.9,Sangat Ketat
383,UNIVERSITAS NEGERI SURABAYA,13832022,TEKNIK MESIN,Sarjana Terapan,40.0,991.0,24.8,Sangat Ketat
382,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,13822038,TEKNOLOGI REKAYASA KIMIA INDUSTRI,Sarjana Terapan,56.0,1384.0,24.7,Sangat Ketat
383,UNIVERSITAS NEGERI SURABAYA,13832073,TATA BOGA,Sarjana Terapan,75.0,1847.0,24.6,Sangat Ketat
373,UNIVERSITAS NEGERI MALANG,13731083,GIZI,Sarjana,31.0,755.0,24.4,Sangat Ketat
371,UNIVERSITAS JEMBER,13713068,AKUNTANSI,Diploma Tiga,36.0,870.0,24.2,Sangat Ketat
373,UNIVERSITAS NEGERI MALANG,13731021,TEKNIK INDUSTRI,Sarjana,43.0,1026.0,23.9,Sangat Ketat
381,UNIVERSITAS AIRLANGGA,13811003,FARMASI,Sarjana,84.0,1999.0,23.8,Sangat Ketat
373,UNIVERSITAS NEGERI MALANG,13732065,PERPUSTAKAAN DIGITAL,Sarjana Terapan,37.0,880.0,23.8,Sangat Ketat
383,UNIVERSITAS NEGERI SURABAYA,13831020,GIZI,Sarjana,60.0,1399.0,23.3,Sangat Ketat
381,UNIVERSITAS AIRLANGGA,13811022,TEKNIK INDUSTRI,Sarjana,36.0,840.0,23.3,Sangat Ketat
